comment,cleaned_comment
Gibraaaann MANTAPKU🔥🔥🔥🔥,mantap
Pengen balik ke sini.  Lihat orang2 yg dulu ngalem bocil ..msh teguhkah pendiriannya 😂😂😂 ternyata banyakan cuma komen pas di sini aja habis itu tenggelam.. oalah buzzeRP to 😂😂,balik sini orang dulu ngalem bocil msh teguh diri nyata banyak cuma komen pas sini aja habis itu tenggelam oalah buzzerp
Woi Tapera Tapera ok gas ok gas pretttt,gas gas pretttt
AkademisiRocky Gerung,akademisirocky
uustadzRockyvGerungprofDrAhliFilsapatnterkemukadi Nusantara,uustadzrockyvgerungprofdrahlifilsapatnterkemukadi
profDRRockyGerung,profdrrockygerung
"1:45:58. ""UDAH"" Masih jadi pertimbangan 🤦",udah jadi timbang
"Dikit-dikit slepet, dikit dikit slepet kadrun",dikit slepet dikit dikit slepet kadrun
"Awalnya di sepelekan lawan, akhirnya pas di buktikan kemampuan nya, lawan langsung cari fitnahan2an lain terhadap kubu Prabowo Gibran, tapi Alhamdulillah walaupun kubu Prabowo Gibran di fitnah oleh kedua kubu kampret Anis dan Ganjar,tapi Allah memberikan rakyat Indonesia kesadaran bahwa fitnahan terus menerus itu tidak benar, dan rakyat Indonesia sadar bahwa Indonesia sudah saatnya di pimpin oleh pak Prabowo, dan disini kenapa rakyat Indonesia lebih percaya pak Prabowo dan Gibran di banding Ganjar dan Anis, karena rakyat Indonesia lihat kalo kemampuan Anis dan Ganjar itu cuma ngomong2 doang kerjanya, tapi kerja nyata nya tidak Segede bicaranya,",sepele lawan akhir pas bukti mampu nya lawan langsung cari fitnahanan lain hadap kubu tapi walaupun kubu fitnah oleh dua kubu kampret dan tapi beri rakyat sadar bahwa fitnah terus terus itu tidak benar dan rakyat sadar bahwa sudah saat pimpin oleh pak dan sini kenapa rakyat lebih percaya pak dan banding dan karena rakyat lihat kalo mampu dan itu cuma ngomong doang kerja tapi kerja nyata nya tidak bicara
Kangen lihat si imin di slepet 02 😂😂,lihat imin slepet
Prabowo gibrannn ✌,gibrannn
Pak gibran ok,gibran
"40 kota, agak lain emang 01 ini😂😂😂😂",kota agak lain emang ini
"Paslon 01 kaga realistis omon omon seperti biasa, membangun 40 kota selevel kota Jakarta mimpi basah dari mana itu ide datangnya 😂🤣",kaga realistis omon omon seperti biasa bangun kota level kota mimpi basah dari mana itu ide datang
KEDUA NYA TIDAK MENYAMPAIKAN VISI DAN MISI...HANYA MAS GIBRAN YG MENYAMPAIKAN VISI DAN MISI...,dua nya tidak sampai visi dan misihanya mas gibran sampai visi dan misi
VISI MISI YG BENAR2 TERSAMPAIKAN TERNYATA DARI GIBRAN...LUAR BIASA GA SALAH PILIH KLG SAYA,visi misi benar sampai nyata dari gibranluar biasa salah pilih klg saya
57:04 ini kan yang lu cari ?,ini kan yang cari
Mantap gibran❤,gibran
Merinding klau liat gibran berbicara🎉🎉🎉🎉❤❤❤❤,klau liat gibran bicara
"Sedih melihat indonesia emas yang hanya terjadi sekali dibawah pimpinan seperti pak prabowo yang sudah sakit dan berlumur dosa, dan 21 program pak Ganjar-Mahfud mungkin tidak akan dilaksanakan",lihat indonesia emas yang hanya jadi sekali bawah pimpin seperti pak prabowo yang sudah sakit dan lumur dosa dan program pak mungkin tidak akan laksana
Yg aku kagumin sama pak gibran dia gak pakai teks sementara yg lain pakai teks jarang ada orang yg bisa secerdas pak gibran,aku kagumin sama pak gibran dia gak pakai teks sementara lain pakai teks jarang ada orang bisa cerdas pak gibran
Baru berani nonton debat setelah beres pemilu 😅😅😅,berani nonton debat telah beres milu
"01 sm 03 nonton dimana2 siaran ulangnya ga sih, hampir 90% komen doanya 02 menang😅",nonton mana siar ulang sih hampir komen doa menang
Omdo aja pak emput buktinya takut juga membongkar koruptor.,aja pak emput bukti takut juga bongkar koruptor
bangun 40 kota pakai sulap.. hhhhh,bangun kota pakai sulap hhhhh
"Poko nya Gibrang Raka Bumi Raka anak mudah cerdas pekerja keras kita rakyat mendukung mas Gibrang BPK Prabowo  Poko nya no urut 2 selaluh di, hati",nya anak mudah cerdas kerja keras kita rakyat dukung mas bpk nya urut selaluh hati
Sungguh terharu banget sama mas gibran😊 slalu jawab dgn simple dan padat jls tanpa basa basi☺️☺️☺️☺️,haru banget sama mas gibran slalu jawab dgn simple dan padat jls tanpa basa basi
Aq termasuk licik dari awal ada acara debat g pernah nonton begitu menang ✌️baru lihat debat sekarang 😂❤Pade wi pade wo❤mas gibran✌️,masuk licik dari awal ada acara debat pernah nonton begitu menang baru lihat debat sekarang pade womas gibran
Keren mas Gibran,mas
Ngakak banget sama mikrofon jatuh haha,banget sama mikrofon jatuh haha
Untuk apa gunanya berdebat😂,apa guna debat
Kelihatan sederhana dn dekat dengan rakyat cara beroakaian yg bersahabat,sederhana dekat dengan rakyat cara beroakaian sahabat
Duaaaaaaaaaa mantappppp pollllllll,mantappppp pollllllll
Gibran pintar dan pemikiran trobosanya bagus,pintar dan pikir trobosanya bagus
Gibran mantap makotop❤❤❤,mantap makotop
