cleaned_comment,cluster
mantap,7
balik sini orang dulu ngalem bocil msh teguh diri nyata banyak cuma komen pas sini aja habis itu tenggelam oalah buzzerp,7
gas gas pretttt,7
akademisirocky,7
uustadzrockyvgerungprofdrahlifilsapatnterkemukadi,7
profdrrockygerung,7
udah jadi timbang,7
dikit slepet dikit dikit slepet kadrun,11
sepele lawan akhir pas bukti mampu nya lawan langsung cari fitnahanan lain hadap kubu tapi walaupun kubu fitnah oleh dua kubu kampret dan tapi beri rakyat sadar bahwa fitnah terus terus itu tidak benar dan rakyat sadar bahwa sudah saat pimpin oleh pak dan sini kenapa rakyat lebih percaya pak dan banding dan karena rakyat lihat kalo mampu dan itu cuma ngomong doang kerja tapi kerja nyata nya tidak bicara,7
lihat imin slepet,11
gibrannn,7
gibran,8
kota agak lain emang ini,7
kaga realistis omon omon seperti biasa bangun kota level kota mimpi basah dari mana itu ide datang,7
dua nya tidak sampai visi dan misihanya mas gibran sampai visi dan misi,7
visi misi benar sampai nyata dari gibranluar biasa salah pilih klg saya,7
ini kan yang cari,7
gibran,8
klau liat gibran bicara,7
lihat indonesia emas yang hanya jadi sekali bawah pimpin seperti pak prabowo yang sudah sakit dan lumur dosa dan program pak mungkin tidak akan laksana,7
aku kagumin sama pak gibran dia gak pakai teks sementara lain pakai teks jarang ada orang bisa cerdas pak gibran,7
berani nonton debat telah beres milu,7
nonton mana siar ulang sih hampir komen doa menang,7
aja pak emput bukti takut juga bongkar koruptor,7
bangun kota pakai sulap hhhhh,7
nya anak mudah cerdas kerja keras kita rakyat dukung mas bpk nya urut selaluh hati,7
haru banget sama mas gibran slalu jawab dgn simple dan padat jls tanpa basa basi,7
masuk licik dari awal ada acara debat pernah nonton begitu menang baru lihat debat sekarang pade womas gibran,7
mas,7
banget sama mikrofon jatuh haha,7
apa guna debat,7
sederhana dekat dengan rakyat cara beroakaian sahabat,7
mantappppp pollllllll,7
pintar dan pikir trobosanya bagus,7
mantap makotop,7
kok yang substansial cuma gibran pak mahfud oke lah dikit,7
lsncar bgt ngomongnya tanpa nyontek kereen bgt dari dulu dari awal aku selalu pak prabowo sekarang akan pintar pak gibran luar biasa,7
dengan nama gibran,8
nyoblos dan berani diri untuk lihat debat cawapres,7
imin ini knapa klau jawab mutar pusing dengarx,7
mas gibran,8
gibran nyangka jawab nya bkn bangga,7
ini paslon pnya gagas,7
visi dan misi mimin sungguh tidak mutu lagi sana dasar kutu kupret,7
sngat luar biasa salam dari madura,7
akowkowkok,7
mahfud banyak cerita sampai visi misi krja malah cerita pnjang lebar gak kya gibran langsung inti mantul bgt keren,7
kayak orang bingung gitu,7
dua jari,7
debat cawapres belakang muhaimin bilang pak mahfud nama juga kampanye pak kalau masalah real saya juga gak tau deh gitu jawab,7
ttp hati pemuda masss maju trus,7
pilih anti korupsi milih kok hanya jago debat hufff pyah,7
hilirisasiiiiiiii mulu ngak ada kata lain kalo ngak mampu harus ngak usah jabat,7
bukti dari pakainnya juga siapa yang hormat kita sebgai msyarakat hormat kita semua adalah amin brpakain sebgai pmimpin akn mnghrmti msyrkat nyaingsya klo tidak lici sma pdi amin bkal mnang dri cra pakainnya tuh tidak mnghrmati kita apa kita smua masih mau pilih pdip dri cra pakainnya tuh kya ngledek kita smua sbagai msyarakt apa kita msih mauuuu mmilih,7
baru nonton debat pilih capres dan cawapres tadi bismillah pindah,7
mampu kendali mampu kendali gila mampu kendali,7
fokus debat,7
cawapres yang fisi misi untuk sim gratis,7
gak butuh makan siang dan susu gratis tapi koruptor musnah bahan pokok dan bbm murah juga bangun rata itu yang butuh kita negara kaya raya kenapa gak bisa manfaat dan rasa jajah negara sendiri,7
mas gibran tepat tenang dan jelas bravo anak muda,2
mas tarik hati masyarakat moga pilih jadi capres dan cawapres,7
misi pak luar biasa dan ucap brmoral dan bobot sejetrah tuk kita semua,7
cupu suhu pak gibran kira karbitan gak ngerti apa matang dan fresh bgt jawab pak gibran,7
emang cuma aja pak yang perlu perhati juga dari wilayah lain yang perlu pak oot dikit saya aja mas heran ini trus terus sorot satu wilayah yaa bagaimana yang lain pak tidak anda pandang,7
bgt buzzer mana,7
tua minggir deh waktu muda maju mas gibran menang,5
iklan mulu,7
merdeka,7
you right cak ingin bangun lama thn jabat numb whatever call talk much its doesnt look genuine fake lol,7
cerdas lbh ayah mungkin selamat pak ibu,7
ekonomi tidak naik drastis karena korupsi dan riba,7
alaikumbapanyajokowidananaknyagaadil,7
alaikumbohonggibrancumankoropsi,7
kalau debat lawan pak ganjar selalu kalah,7
ngeh ada tyfo tulis klo prof mahpud jadi urut cawapres urut,7
lihat gibran lihat tulus dan begitu cerdas dan wawas luwas salut dengan gibran mari kita dukung emas sama gibran prabowo,8
ulang ulang cmn pingin liat momen keren nya mas gibran,7
gibran,8
siap nangiskalah selalu rendah orang lain menang putar,3
debat nya terlalu kaku kita tidak lihat tarung gagas tukar fikiran dengan waktu yang pada puas,7
mas semangat,7
ini ada beberapa agama masuk untuk chanel atau acara acara lain jika itu bau umum maka tiap salam dari agama harus ucap awal dan akhir giat nonton dan para pilih dan lapis masyarakat cuma muslim saja,7
gibran keren logis dan tepat,7
dari gorontalo dukung prbawo gibran,7
semangat pak prabowo dan mas,7
jelas mintak rakyat kecil koruptor hukum mati beres jangan selepat lepet aja,7
emas,7
merinding denger suara mas gibran,0
ngomong apa pak mahfud,7
naik rasio pajak macem kah dari jadi sekarang negara sektor dll berlombalomba turun ini koq malah naik kan,7
kalian semua buzzer kah kenapa satu aku galiat dukung fucked semua orang problematik support,7
semangatttt terus,7
sopan santun,7
allah mas gibran luar biasa,8
gak perna liat soal debat pas liat mas gibran langsung jato hati slm jari,7
hidup,7
the best,10
gibran msih muda tpi pnglamn mslah politik sdh luar kepala tua aja bnyk pnglaman nya kalah msih bnyk mikir nyontek slam jari,7
super duper brilianamazing,7
gibran,8
masa mau jadi cawapres cuma ngucapin salam buat agama islam lsng sambung kita tunduk kepala bener aja pilih deh,7
anies,7
fix banyak menghayal mukbang gratis perlu harus ubah dengan program yang lebih tepat biasa aja anehaneh maju menghayal terus saja mimpi,7
biasa dik pak jokowisemakin yakin pilih all prabowokami tidak butuh omong kosong bagus sekali fiksi dan halusinasi anda tahan kan pak cocok sama pasang bapak,7
gara debat gak penting malah gak bisa nonton afc ayo cepet siarin afc aja broo,7
