comment,cleaned_comment,predicted_sentiment
"Mahmud MD yang paling rasional dan ngak muluk2, rakyat indonesia melarat karena semua rampok uang negara",yang paling rasional dan ngak muluk rakyat indonesia melarat karena semua rampok uang negara,negative
"klo dilihat dari hati nurani, AMIN adalah jawaban masa depan Indonesia",klo lihat dari hati nurani amin adalah jawab masa depan,negative
Semept goyah sama capres dan cawapres no urut 2 karena banyak isu2 yang tidak enak. Tapi setel nonton ini malah jadi yakin banget banget sama capres dan cawapres no urut 2,goyah sama capres dan cawapres urut karena banyak isu yang tidak enak setel nonton ini malah jadi yakin banget banget sama capres dan cawapres urut,negative
"Lebih seru nonton debat cawapres, karena ke-3 jawaban Paslon berbobot. Kalau debat capres kemarin kurang berbobot dijawabannya Pak Prabowo.",seru nonton debat cawapres karena jawab bobot debat capres kemarin kurang bobot jawab,negative
Muhaimin Iskandar kurang cerdas,kurang cerdas,negative
Muhaimin ngak ada bobot,ngak ada bobot,negative
"masih terpantau netral lah gw... masih liat sampai dimana janji manis para paslon di kumandangkan.... uuupppssss... dari pada ribut ngomongin Debat mending sediakan lapangan kerja yg bener buat mereka yg butuh pekerjaan... jgn ada embel"" koneksi atau harus persyaratan dgn skill dewa, pendidikan S3 promax tp gaji masih dibawah UMR... kasian rakyat dimiskinkan oleh pemerintahnya sendiri 🙏",masih pantau netral lah masih liat sampai mana janji manis para paslon kumandang uuupppssss dari pada ribut ngomongin mending sedia lapang kerja bener buat mereka butuh kerja jgn ada embel koneksi atau harus syarat dgn skill dewa didik promax gaji masih bawah umr kasi rakyat miskin oleh perintah sendiri,negative
Rakyat kecil mayoritas pilih Prabowo Gibran,kecil mayoritas pilih,negative
Rakyat gak butuh gagasan aja yg kami mau kejunurannya,gak butuh gagas aja kami mau kejunurannya,negative
"40kota selevel jakarta kalo dibantu sama BandungBondowoso,Sangkuriang,Malinkundang,Ratu Pantai Selatan,Tony Stark, Bruce Banner, TOR , AntMan bersama Pasukan Semut, Batman,Superman, Spiderman 😂😂😂🤣🤣😅",kota level jakarta kalo bantu sama bandungbondowoso tor antman sama,negative
ALL IN PRABOWO - GIBRAN ✌️✌️✌️✌️✌️,all prabowo gibran,negative
"Sekolah gratis bagi anak prajurit dan bayangkara waaaaa seperti nya agak condong yaaaaaa pak mafud,,, banyak anak org tidak mampu pintar tetapi tidak ada dana,,, mohon revisi nyaaaaaaaaa😅😅😂😂😂😂",gratis bagi anak prajurit dan bayangkara waaaaa seperti nya agak condong yaaaaaa pak mafud banyak anak org tidak mampu pintar tetapi tidak ada dana mohon revisi nyaaaaaaaaa,negative
"Sebagai orang awam Pass nonton debatnya penjelasan dari mas gibran ternyata luar biasa jelas visi misinya begitupun pertanyaan2 dijawab lugas dan elegan abis tu  liat2 komen,rata2 isinya muji2 mas gibran,bikin makin paten pilih 02😂😂😂",orang awam nonton debat jelas dari mas gibran nyata luar biasa jelas visi misi begitu tanya jawab lugas dan elegan abis liat komenrata isi muji mas gibranbikin makin paten pilih,negative
Tetap no pilih no.2,pilih,negative
Tetap gibran paling aku suka,gibran paling aku suka,negative
Tidk jelas penyampaian Mahfud MD,jelas sampai,negative
Mahfud malah cerita dia mah bukan debat kocak,malah cerita dia mah bukan debat kocak,negative
Kpu buang2 duit,buang duit,negative
Pa ganjar ribet sma pakean adat nya...,ganjar ribet sma pakean adat nya,negative
Disuruh menyampaikan visi misi malah bacain kritik. Dasar Imin.,sampai visi misi malah bacain kritik,negative
jangan di buka lagi saham ilegal ya pak  soal NKRI kita udah banyak yang ilegal inspastasi ilegal  juga manusia ilegal rohingya  indonesia tidak sedang baik baik saja  tapi malah di dalam krisiss ekonomi rakyat,jangan buka lagi saham ilegal pak soal nkri kita udah banyak yang ilegal inspastasi ilegal juga manusia ilegal rohingya indonesia tidak sedang baik baik saja tapi malah dalam krisiss ekonomi rakyat,negative
😂😂😂ceritanya UGM lawan seorang gibran kita lihat siapa yang pantas jadi pemimpin,cerita ugm lawan orang gibran kita lihat siapa yang pantas jadi pimpin,negative
sbnr nya anak muda ini ngrti g yg omongin nya😀😀,sbnr nya anak muda ini ngrti omongin nya,negative
Terlalu byk ngomong bahaya,byk ngomong bahaya,negative
"Menit 1:24:30 dan seterusnya, Mahfud MD jelas sekali tak bisa menjawab pertanyaan Gibran. Bertanya Masalah Hukum yg mengarah ke Lingkungan yg tdk dijawab karena tdk mengetahui Masalah Lingkungan. Mahfud MD bukan ahli masalah Hukum Lingkungan, jd tak bisa jawab, jawabannya tdk jelas untuk menutupi ketidaktahuan tentang Hukum Lingkungan. Mahfud Md akan paham jika ditanya tentang masalah hukum Ketatanegaraan, Pidana maupun Perdata. 
Pintar sekali Gibran mengajukan pertanyaannya walau Isu Lingkungan ini bukan Topik dari debat ini.",dan terus jelas sekali tak bisa jawab tanya arah tdk jawab karena tdk tahu bukan ahli masalah tak bisa jawab jawab tdk jelas untuk tutup ketidaktahuan tentang akan paham jika tanya tentang masalah hukum maupun sekali aju tanya walau ini bukan dari debat ini,negative
Mata ke atas trus liat apa emng di atas,atas trus liat apa emng atas,negative
all in prabowo gibran,all prabowo gibran,negative
prabowo gibran ❤,prabowo gibran,negative
"Haha semua fokus paslon ,,, gw fokus moderator nya, ga asik, kaku bet, ga kaaya yg debat pertama, dihhh",semua fokus paslon fokus moderator nya asik kaku bet kaaya debat pertama dihhh,negative
"Pernyataan Pamungkas Gibran Rakabuming Raka Superr,berbobot,dari hati dan tanpa teks. ✌✌✌🎊🎊🎊",berbobotdari hati dan tanpa teks,negative
Rakyat boleh ngomong.debat namanya debat.era reformasi.saya wong deso yang takpunya titel seperti bapak sekalian.tapi saya mendengar omongan bapak bapak di media.sepertinya unsur kemanusiaannya  tak ber kembang.yang terlihat kesenjangan.contoh yang jadi tukang cuci kepet siapa(pembantu rumah tsngga) bahkan sampai diexpor keluar negri.kalo sayaboleh ngomong pribumi jadi budak dinegri sendiri.dengan kekayaan alam yang tak ter hingga tapi yang panen asing contoh priport.dikarenakan tak berdays di bidang tehnonologi.akankah terus seperti ini.para petinggi hanya mengolah kata kata doang.kasihan rakyat terus terus dibawa kealam kebodohan.yang pasti saya punya pilihan pemilu nanti itupun kalau ter daftar.2019 lalu sayahadir ditps bawa ktp sukarela.salam nkri semoga akan lebih baik ❤.,boleh ngomongdebat nama debatera reformasisaya wong deso yang takpunya titel seperti bapak sekaliantapi saya dengar omong bapak bapak mediasepertinya unsur manusia tak ber kembangyang lihat kesenjangancontoh yang jadi tukang cuci kepet siapapembantu rumah tsngga bahkan sampai diexpor keluar negrikalo sayaboleh ngomong pribumi jadi budak dinegri sendiridengan kaya alam yang tak ter hingga tapi yang panen asing contoh priportdikarenakan tak berdays bidang tehnonologiakankah terus seperti inipara petinggi hanya olah kata kata doangkasihan rakyat terus terus bawa alam kebodohanyang pasti saya punya pilih milu nanti itu kalau ter daftar lalu sayahadir ditps bawa ktp sukarelasalam nkri moga akan lebih baik,negative
"Paslon 1 & 3, kebanyakan mojokin hasil kerja pemerintahan sekarang.Kami butuh solusi pak, bukan dengerin keluh kesah bapak2.",banyak mojokin hasil kerja perintah sekarang butuh solusi pak bukan dengerin keluh kesah bapak,negative
Mas gibran kok ngak jadi capres aja 😊,gibran kok ngak jadi capres aja,negative
Rupane koyo berat.. ga bisa santai.. ga masuk gagasanya..,koyo berat bisa santai masuk gagasanya,negative
Di hati mas Gibran,hati mas,negative
"pak mahfud apa adanya, mas Gibran cerdas, yg satunya gak jelas kayak nonton stand up komedi.",pak mahfud apa ada mas cerdas satu gak jelas kayak nonton stand komedi,negative
Kita harus sadar bhw sebatas ini kwalitas bangsa kita. Semua selalu bilang rakyat sudah cerdas. Contoh nyata jika ditanya setujukah hukum ditegakkan? Jwbnya pasti setuju. Faktanya MK langgar etik berat masih banyak yg dukung. Itu kah yang dimaksud cerdas  ? 🤦‍♂️🤷‍♂️🤟🤟🤟,harus sadar bhw batas ini kwalitas bangsa kita selalu bilang rakyat sudah cerdas nyata jika tanya tuju hukum tegak pasti tuju langgar etik berat masih banyak dukung kah yang maksud cerdas,negative
Kesimpulan nya adalah cm cawapres no. 2 yg gak baca teks ya,nya adalah cawapres gak baca teks,negative
"Hahahahaha gibran yg terlihat planga plongo, malah yg paling berkelas. Wajah itu tidak bisa diukur kepintaraan nya. Wkwkw . Mampooss paslon 1",gibran lihat planga plongo malah paling kelas itu tidak bisa ukur kepintaraan nya paslon,negative
Emng gpp sesering itu di data kpu. Bknkah dah jls kenyataan nya😂😊,gpp sering itu data kpu dah jls nyata nya,negative
"liat aja mereka damai, masa kalian ribut ribut sih...!",liat aja mereka damai masa kalian ribut ribut sih,negative
"Gibran visi misinya jelas dan bicara tanpa teks

Mahfud visi misinya menyampaikan masalah tanpa teks

Muhaimin visi misinya kurang jelas bercerita penuh analogi namun sambil baca teks

Dalam hal ini Gibran terdepan❤",visi misi jelas dan bicara tanpa teks visi misi sampai masalah tanpa teks visi misi kurang jelas cerita penuh analogi namun sambil baca teks hal ini depan,negative
Anis kalah maka demo ber silit2 akan terjadi.😊😊😊,kalah maka demo ber silit akan jadi,negative
Jgn sampai cawapres dapat bocoran soal nih. Jawabannya cepat dan tepat dan bicaranya luwes seperti sdh mengetahui setiap konteks pertanyaan. Ini pendapat sy saja 😂,sampai cawapres dapat bocor soal nih cepat dan tepat dan bicara luwes seperti sdh tahu tiap konteks tanya dapat saja,negative
"Ca imin ini knapa ya klau jawab mutar2 😅😂 pusing dengarx,",imin ini knapa klau jawab mutar pusing dengarx,negative
"Coba cek sama2 apa saya salah denger ya waktu 1:46:00 ada bocor halus suara wanita berkata ""UDAH: saat gibran bicara...",cek sama apa saya salah denger waktu ada bocor halus suara wanita kata udah saat gibran bicara,negative
"Mas Gibran sesuai dengan prediksi saya sebelumnya, karakter dia emang pendiam cenderung gak banyak omong. Tapi dia mampu berbicara lugas di depan publik ketika memang dibutuhkan, ya namanya pernah jadi pemimpin (walikota) pasti punya skill public speaking. 

Hanya saja kemarin² kena underestimate duluan dengan julukan nyeleneh ""planga-plongo, bocah ingusan, dll"" dari netizen. Nyatanya dia bisa mematahkan semua stigma itu. Point pentingnya didebat ini bukan hanya cara public speaking yang bagus atau sekedar retorika, tapi apa inti yang disampaikan dan apakah jawabannya bisa menjawab pertanyaan dengan tepat atau tidak.",sesuai dengan prediksi saya belum karakter dia emang diam cenderung gak banyak omong dia mampu bicara lugas depan publik ketika memang butuh nama pernah jadi pimpin walikota pasti punya skill public speaking saja kemarin kena underestimate duluan dengan juluk nyeleneh plangaplongo bocah ingus dll dari netizen dia bisa patah semua stigma itu penting debat ini bukan hanya cara public speaking yang bagus atau dar retorika tapi apa inti yang sampai dan apakah jawab bisa jawab tanya dengan tepat atau tidak,negative
Gibran sy kerja di kalimantan dekat dg pt.buksit sekarang ini tempat yg dulunya tdk pernah banjir sekarang sudah setiap hujan kebanjiran jalan hancur lebur apa solusi dr bapak anda,kerja kalimantan dekat ptbuksit sekarang ini tempat dulunya tdk pernah banjir sekarang sudah tiap hujan banjir jalan hancur lebur apa solusi bapak anda,negative
"Pak muhaimin,ide nya ata7 teori nya kok berlawanan dngan apa yg di coba lakukan di 3ra sbelum nya,aneh memank",muhaiminide nya ata teori nya kok lawan dngan apa coba laku sbelum nyaaneh memank,negative
"gk usah banyak janji manis, dari dulu korupsi tetap jadi raja di indonesia ,,maling ayam babak belur😂😂😂😂",usah banyak janji manis dari dulu korupsi tetap jadi raja indonesia maling ayam babak bur,negative
"Jgn kan kurupsi di penjabat, di jakarta aj banyak yg tiap bulan kurupsi iuran yg gac jelas",kan kurupsi jabat jakarta banyak tiap bulan kurupsi iur gac jelas,negative
Pak Gibran jagoan kami NTT,jago kami ntt,negative
Mas Gibran mah no koar koarr. Santai aja . Nanti kalo yg lain  lengah langsung di ulti ❤❤❤❤,mah koar koarr aja kalo lain lengah langsung ulti,negative
"gibran yang gak disangka2 bisa tampil baik dan argumentatif cuma prabowo yang gak maksimal saat debat,  justru imin yang banyak bluNder",gibran yang gak sangka bisa tampil baik dan argumentatif cuma prabowo yang gak maksimal saat debat justru imin yang banyak blunder,negative
lesti kejora sdh ada lagi di indosiar ya❤,lesti kejora sdh ada lagi indosiar,negative
Keren banget Gibran 👍 maju terus pantang mundur,banget maju terus pantang mundur,negative
"Terus terang sgie saya gk faham, padahal disitu gibran sudah menerangkan seorang gus imin yg notabene ketua umum partai islam terbesar tp gak tau apa itu sgie harusnya dia yg lebih betkompeten di bidang itu, terus selama ini jadi ketum PKB ap aja yg dilakukan bersama partainya",terang sgie saya faham padahal situ gibran sudah terang orang gus imin notabene ketua umum partai islam besar gak tau apa itu sgie harus dia lebih betkompeten bidang itu terus lama ini jadi tum pkb aja laku sama partai,negative
"ditanyain regulasi sanitasi, malah jawabnya fisiknya😅, gak jelas nih paslon 2",ditanyain regulasi sanitasi malah jawab fisik gak jelas nih paslon,negative
Pak gibran mantaappppppppppppp....kesempatan tidak datang 2x bener bgt..,gibran mantaapppppppppppppkesempatan tidak datang bener bgt,negative
Prof Mahfud MD pinter bgt ya.. semua base on data 👍,pinter bgt semua base data,negative
"Yg bikin gibran seolah” anak ingusan g bisa ngomong kan konten… sudah pasti ulah timses saingan sebelah. Logika aja, ga mungkin g punya kemampuan berani nyalon jd cawapres",bikin gibran olah anak ingus bisa ngomong kan konten sudah pasti ulah timses saing belah aja mungkin punya mampu berani nyalon cawapres,negative
Gibran kurang  paham mengenai perpajakan,kurang paham kena paja,negative
Dimalaydia3sudah digil bosss sedang kita masih ributtttt sesama rakyat,dimalaydiasudah digil bosss sedang kita masih ributtttt sama rakyat,negative
"Bicara , diplomasi...diplomasi, ......kalau Gibran fokus pada solusi masalah ..slepet !!!",diplomasidiplomasi kalau fokus pada solusi masalah slepet,negative
"02 🥳
Lebih mudeng 😂
Yg laen slepet nih🤣",mudeng laen slepet nih,negative
"menaikan pajak, cok",naik pajak cok,negative
kl anis cumn wacana aja,anis cumn wacana aja,negative
"Waktu denger visi misi nya gua ngantuk, karena dari dulu itu2 aja , eksekusi minus 🤣",denger visi misi nya gua ngantuk karena dari dulu itu aja eksekusi minus,negative
Yg kurang wawasan dlm debat jangan d pilih,kurang wawas dlm debat jangan pilih,negative
Amin tetap juara. Mau ngerasain perubahn dlu skrg,tetap juara ngerasain perubahn dlu skrg,negative
"No 1 di tulis dan membaca, no 3 sama, nomber 2 itu dr hati dan pikiran tanpa perlu membaca fisi mis nya",tulis dan baca sama nomber itu hati dan pikir tanpa perlu baca fisi mis nya,negative
Tetap prabowo gibran pilihan hati,prabowo gibran pilih hati,negative
itu sih bukan debat boss ku itu namanya dongngeng atau cerita ya,itu sih bukan debat boss itu nama dongngeng atau cerita,negative
Pak gibran jawab sangat cerdas❤,gibran jawab sangat cerdas,negative
"orang solo paham sih bentuk pak jokowi ketegasan pak ahok, banyak hal yg d rubah mas gibran",orang solo paham sih bentuk pak jokowi tegas pak ahok banyak hal rubah mas gibran,negative
Mana yg kemarin nyinyir gak berani debat liat cawapres gibran keren,kemarin nyinyir gak berani debat liat cawapres gibran keren,negative
Rakyat tidak mengutamakan yang pandae debat.rakyat butuh ketulusan mengurusi rakyat kecil terutama petani,tidak utama yang pandae debatrakyat butuh tulus urus rakyat kecil utama tani,negative
Jelas jelas kita punya panji gumilang pengelola al zaitun ehh ditangkap sama MUI dan mahput md gila betul ini si mahput md rasis seperti jusup kala,jelas kita punya panji gumilang kelola zaitun ehh tangkap sama mui dan mahput gila betul ini mahput ras seperti jusup kala,negative
prof Mahfud emang joss soal permasalahan negri ini👍👍👍,prof emang joss soal masalah negri ini,negative
Cak iming kurang greget,iming kurang greget,negative
"Nyelepet nyelepet, mukelu tuh diselepet",nyelepet mukelu tuh lepet,negative
